step,location,timezero,date,pred_median,pred_95_lb,pred_80_lb,pred_50_lb,pred_50_ub,pred_80_ub,pred_95_ub,na_value_count
1,Baden-Württemberg,2015-07-05,2015-07-12,-0.100438133696747,-3.07268072147484,-2.72398312439081,-1.12873355011635,0.935885473742125,2.31027675350082,2.74781554666063,0
2,Baden-Württemberg,2015-07-05,2015-07-19,-0.127730026574279,-3.18008089494619,-2.53298957920942,-1.20865923817312,0.91243263652989,2.56179828405786,2.96476416156837,0
3,Baden-Württemberg,2015-07-05,2015-07-26,-0.0322906901420296,-3.1857336286778,-2.5052264415682,-0.990915043794096,1.00608589138452,2.521149308301,3.00331214399616,0
4,Baden-Württemberg,2015-07-05,2015-08-02,0.022751667796868,-3.05124827757785,-2.51502280968299,-0.921937927176248,1.07609152185869,2.45662383501562,2.85457079051709,0
5,Baden-Württemberg,2015-07-05,2015-08-09,0.0860629838169391,-3.06985852837264,-2.47091327953651,-0.938058512270956,1.14358350982985,2.53182845899573,3.01903101156978,0
6,Baden-Württemberg,2015-07-05,2015-08-16,0.120055490305372,-2.87844697800985,-2.34996091064211,-0.825781526210447,1.15133493195113,2.6018684610671,3.10214751292656,0
1,Bavaria,2015-07-05,2015-07-12,0.00734486458622963,-4.40043368556531,-3.43170499473881,-1.53566795625284,1.47681614848642,3.54708261622883,4.31465902396807,0
2,Bavaria,2015-07-05,2015-07-19,-0.116735716783574,-4.18978584444566,-3.60813415836677,-1.58413536448825,1.5894276450028,3.79879924569799,4.55601038765674,0
3,Bavaria,2015-07-05,2015-07-26,0.0159527041823401,-4.46724374502816,-3.57818832260488,-1.31590220043457,1.48275583345123,3.68078364824269,4.44161820401551,0
4,Bavaria,2015-07-05,2015-08-02,0.183302734354089,-4.25810428467182,-3.60595119040801,-1.40714796777894,1.58593450756102,3.72789390270131,4.23413878004119,0
5,Bavaria,2015-07-05,2015-08-09,0.0277056277141382,-4.57709661029613,-3.84504410786416,-1.68725231040658,1.50223219483512,3.74572319986783,4.37477305682938,0
6,Bavaria,2015-07-05,2015-08-16,-0.0818994804327393,-4.14981504637661,-3.6454937675866,-1.53120213886193,1.45922965085834,3.40792273584308,4.00899500038496,0
1,Berlin,2015-07-05,2015-07-12,-0.0234704773537793,-3.50346642367161,-2.96379820373571,-1.13582678499773,1.25438925996151,3.15563637273679,3.69796446565698,0
2,Berlin,2015-07-05,2015-07-19,-0.00292973900890153,-3.4966402817617,-2.90182605815104,-1.24698145607996,1.27017940050782,3.11514365867504,3.611521502735,0
3,Berlin,2015-07-05,2015-07-26,0.0223296731931484,-3.51998757493158,-2.9633186168376,-1.19403289735851,1.24901983767853,2.90207813298344,3.42330170528033,0
4,Berlin,2015-07-05,2015-08-02,-0.0477419471091117,-3.55453017667675,-2.9836961006107,-1.29232324131683,1.18904425257774,3.00607824855054,3.51574284704288,0
5,Berlin,2015-07-05,2015-08-09,-0.0879242160911533,-3.61231289948597,-3.18968577283322,-1.38335149412528,1.12709063908805,3.00199842613727,3.62516233596134,0
6,Berlin,2015-07-05,2015-08-16,0.146536881140409,-3.62297543988599,-3.08012575469864,-1.04994163353636,1.33448485558317,3.11925997367141,3.75530309373208,0
1,Brandenburg,2015-07-05,2015-07-12,-0.14682074857157,-5.02343133966979,-4.2246723964496,-1.95814194095048,1.76248527337042,4.13947459605767,4.99939319074687,0
2,Brandenburg,2015-07-05,2015-07-19,-0.211189695754106,-5.0070575346239,-4.36532319068391,-2.00966248418053,1.65538689410377,3.97095679210561,4.90377434106291,0
3,Brandenburg,2015-07-05,2015-07-26,0.135047317721265,-5.11191409295505,-4.3920540748657,-1.662486161628,1.9894275269827,4.37654120380876,5.21494716616938,0
4,Brandenburg,2015-07-05,2015-08-02,-0.0705779074832429,-5.47334295641574,-4.53807327183657,-1.88234028293045,1.68151913163101,4.30181249084834,5.18050853167074,0
5,Brandenburg,2015-07-05,2015-08-09,-0.073130709102133,-4.94339274249256,-4.24151971231026,-1.71082373453507,1.72968934985909,4.44903925345126,4.91777001853597,0
