step,location,timezero,date,pred_median,pred_95_lb,pred_80_lb,pred_50_lb,pred_50_ub,pred_80_ub,pred_95_ub,na_value_count
1,Baden-Württemberg,2015-07-05,2015-07-12,0.00315377456166532,-0.017581537070933,-0.0140598139498309,-0.00407757425033281,0.0106124165097949,0.0215816343240394,0.0246843126717171,0
2,Baden-Württemberg,2015-07-05,2015-07-19,0.00156428349678617,-0.0202677610881939,-0.0162728340625521,-0.00547950766483077,0.00899933057061214,0.0196542225805475,0.0225392846580286,0
3,Baden-Württemberg,2015-07-05,2015-07-26,0.00284947952417469,-0.0171643044796663,-0.0140210371829214,-0.00425054053769963,0.01090094282536,0.0205924659167851,0.0235030907462219,0
4,Baden-Württemberg,2015-07-05,2015-08-02,0.00616663820974828,-0.0123831969613122,-0.00975256005089166,-0.00083112126934004,0.0130970412600591,0.0249623543509963,0.0288007745871978,0
5,Baden-Württemberg,2015-07-05,2015-08-09,0.00845446436614483,-0.00954635028426589,-0.00638431466791939,0.00226308079869342,0.0147105911034948,0.0231892474966084,0.0253858606219803,0
6,Baden-Württemberg,2015-07-05,2015-08-16,0.00717989464291946,-0.00755739086107064,-0.00569739000123092,0.00191326142325043,0.0128472816950664,0.0200461182997435,0.0223068654646061,0
1,Bavaria,2015-07-05,2015-07-12,-0.0590264521534383,-0.133939444802922,-0.126104294282351,-0.0879984781128248,-0.0308888189342421,0.012914893391246,0.0232511708122225,0
2,Bavaria,2015-07-05,2015-07-19,-0.0663731491718145,-0.140507317464632,-0.128214476643965,-0.0946880384098972,-0.0371058531928626,0.00810017282342182,0.0205745535165866,0
3,Bavaria,2015-07-05,2015-07-26,-0.0170489566235226,-0.0929314443219367,-0.0808815797337014,-0.0441534143404727,0.0102912278402282,0.0549744343388871,0.0705350885254465,0
4,Bavaria,2015-07-05,2015-08-02,0.0380669286978478,-0.0549841021449425,-0.0393794091477698,0.00703961426711597,0.0710699252088071,0.11424604048133,0.132173604842558,0
5,Bavaria,2015-07-05,2015-08-09,0.0679865440641341,-0.0216479951981511,-0.0077745665139164,0.037342630601662,0.105164674143989,0.151662169195034,0.169928355673334,0
6,Bavaria,2015-07-05,2015-08-16,0.0710683299907179,-0.0289532385754859,-0.0173086853213161,0.0355467615626744,0.105382145177985,0.166442829959946,0.184555089994329,0
