step,location,timezero,date,pred_median,pred_95_lb,pred_80_lb,pred_50_lb,pred_50_ub,pred_80_ub,pred_95_ub
1,Saxony,2015-07-05,2015-07-12,0.0163246869077486,-0.0724842205279941,-0.0568785030672768,-0.0164873034599407,0.0577970916608338,0.131447354373082,0.158961017144014
2,Saxony,2015-07-05,2015-07-19,-0.019238085231042,-0.0943611756375868,-0.0808010378774085,-0.0464163170460348,0.0141550090490112,0.0708733304524324,0.091235243977746
3,Saxony,2015-07-05,2015-07-26,0.0380577480924645,-0.0444216124124439,-0.030571382671543,0.00645947275387379,0.0804343599046595,0.164651151901416,0.199987399852251
4,Saxony,2015-07-05,2015-08-02,0.0157633180724885,-0.0917788375210218,-0.0760437801389122,-0.0254721629476235,0.0703154516691353,0.164002492879987,0.198769719775823
5,Saxony,2015-07-05,2015-08-09,-0.0167510963858574,-0.110534979183216,-0.0969462188391074,-0.0522208749470787,0.0300648809709871,0.104947745378517,0.131081940655873
6,Saxony,2015-07-05,2015-08-16,-0.00149571123694922,-0.0786248841633398,-0.0637038122240471,-0.0294466403103287,0.0372780269245397,0.106622314095244,0.132541300514098
1,Saxony-Anhalt,2015-07-05,2015-07-12,0.0135718991086414,-0.110420646067142,-0.0922425155940083,-0.0343989762823044,0.0759589377944406,0.200616759125147,0.262261278791078
2,Saxony-Anhalt,2015-07-05,2015-07-19,-0.014934342258333,-0.124131153196261,-0.108131689040786,-0.0556617567475655,0.037007979447027,0.135729858339915,0.180736689771817
3,Saxony-Anhalt,2015-07-05,2015-07-26,-0.00144103016945693,-0.0875763121207545,-0.074966664808792,-0.0337249906728388,0.0412854915581677,0.132655022354578,0.183631603824387
4,Saxony-Anhalt,2015-07-05,2015-08-02,0.0174554768339469,-0.116329039388289,-0.103264681679007,-0.037927844258385,0.0875381728213856,0.223485300734187,0.2932438055711
5,Saxony-Anhalt,2015-07-05,2015-08-09,-0.00852884070322724,-0.128810369010835,-0.112844404648342,-0.0551811068053715,0.0475497695451067,0.15654406753803,0.197617466534714
6,Saxony-Anhalt,2015-07-05,2015-08-16,0.00107969227291371,-0.089209862021754,-0.0803216751619261,-0.0370880298505188,0.0502284142544195,0.151860380045602,0.194913987858304
1,Schleswig-Holstein,2015-07-05,2015-07-12,0.0371163974040848,-0.110372338540519,-0.09775665714988,-0.0312351344804153,0.122519980593336,0.290630396182445,0.381494673324432
2,Schleswig-Holstein,2015-07-05,2015-07-19,-0.0101966709838107,-0.129340102509549,-0.115087548057411,-0.0609118445225633,0.0539424057793671,0.160527596126367,0.214736045416456
3,Schleswig-Holstein,2015-07-05,2015-07-26,0.00207017831726464,-0.0903696839954903,-0.0828009583308087,-0.0400696465024954,0.0525358430864684,0.162405322437412,0.215773338435896
4,Schleswig-Holstein,2015-07-05,2015-08-02,0.0138487714964173,-0.127347301888468,-0.115485497959766,-0.0506026474942573,0.090722167366891,0.274605193477671,0.362469545122938
5,Schleswig-Holstein,2015-07-05,2015-08-09,-0.00733717319545774,-0.131304844650012,-0.115776113746169,-0.0612320649139386,0.0550917003669581,0.189216817824485,0.240598786298077
6,Schleswig-Holstein,2015-07-05,2015-08-16,-0.000364968427752993,-0.095021418819721,-0.0850003707502066,-0.0421116154979557,0.0532172283628438,0.180849080359298,0.246064334898057
