step,location,timezero,date,pred_median,pred_95_lb,pred_80_lb,pred_50_lb,pred_50_ub,pred_80_ub,pred_95_ub
1,Baden-Württemberg,2015-07-05,2015-07-12,-0.113054307546261,-4.22168456409636,-3.43133253065395,-1.44422585885654,1.18178042225057,3.09304436283844,3.81858098903145
2,Baden-Württemberg,2015-07-05,2015-07-19,-0.200773483931786,-3.92588037235161,-3.34405868902804,-1.49351637102679,1.12552399389118,3.02619541441294,3.50155032280404
3,Baden-Württemberg,2015-07-05,2015-07-26,-0.119029108916899,-3.64334024176334,-2.9967372380772,-1.3395922167032,1.2970498209693,3.17606821011279,3.68532335192772
4,Baden-Württemberg,2015-07-05,2015-08-02,0.0461012195212842,-3.80037165149797,-3.16476333650765,-1.26094159127454,1.41522507399812,3.13641471862265,3.68686104200774
5,Baden-Württemberg,2015-07-05,2015-08-09,0.0212848846673502,-3.51690640194552,-3.11003449763515,-1.30955064607884,1.24716121901331,3.02583201790969,3.55022123475775
6,Baden-Württemberg,2015-07-05,2015-08-16,-0.0238739209550341,-3.81691061702952,-3.07959654723909,-1.28022507814689,1.36229888078091,3.13478977532981,3.71468865073226
1,Bavaria,2015-07-05,2015-07-12,-0.139298986896559,-5.09181031727259,-4.56194813743322,-1.75452481938221,1.75847050371319,4.53624229296105,5.4841032807515
2,Bavaria,2015-07-05,2015-07-19,-0.254680809079777,-5.5841436324611,-4.64875929419737,-2.11076968297696,1.67833085100624,4.32853411352099,5.05850005963365
3,Bavaria,2015-07-05,2015-07-26,0.00950986910588655,-5.5126203665348,-4.49480443802897,-1.79588200019409,1.76847184165771,4.27702724232474,4.8592994291887
4,Bavaria,2015-07-05,2015-08-02,0.0379281513229866,-5.3733483239785,-4.63573995206715,-1.87671341287063,1.76739543740221,4.51193289931427,5.51818825436258
5,Bavaria,2015-07-05,2015-08-09,-0.211553668097355,-5.14598122921419,-4.32288217573719,-1.77408745893861,1.685235638666,4.32284063412481,5.1004573445189
6,Bavaria,2015-07-05,2015-08-16,-0.0739301856354731,-5.41130489634502,-4.5813867316324,-1.96278903462657,1.608652989094,4.29238321758563,5.16963859830013
1,Berlin,2015-07-05,2015-07-12,-0.145266520478289,-3.63203244796924,-3.11185724664688,-1.37289290733659,1.17095798753195,3.20174505620671,3.76924142286467
2,Berlin,2015-07-05,2015-07-19,-0.0105417457212905,-3.63507004375708,-3.09934386902738,-1.20806973133248,1.23734301020869,3.02962424838153,3.5831925114419
3,Berlin,2015-07-05,2015-07-26,0.000642376987632531,-3.71232972008402,-3.16544327705654,-1.23803909309631,1.43115319341841,3.19900206314586,3.73426246543345
4,Berlin,2015-07-05,2015-08-02,0.0269809706378898,-3.65893638274308,-3.00825411421979,-1.16546222939512,1.3079103842956,3.26164914451911,3.91515545353302
5,Berlin,2015-07-05,2015-08-09,0.036444226271452,-3.75167379123788,-3.18910064448411,-1.30584789759928,1.38426024138274,3.00323213653056,3.55456281241222
6,Berlin,2015-07-05,2015-08-16,-0.0096845461806043,-3.69598665269692,-3.10355876236477,-1.12797948330804,1.30987670770745,3.00950043338649,3.53591597728461
1,Brandenburg,2015-07-05,2015-07-12,-0.114925019267059,-5.43377659578297,-4.63981801838517,-1.91609051188416,1.6536473196567,4.34046209745526,5.04066569709914
2,Brandenburg,2015-07-05,2015-07-19,0.00475846492395168,-5.10660003087831,-4.14922051835262,-1.76684339247725,1.71487669725755,4.40310799066607,5.10548444278728
3,Brandenburg,2015-07-05,2015-07-26,0.0104635502012505,-5.03332136786761,-4.42729864647347,-1.61231515619016,1.71506884347035,4.17653005769106,4.96555783903113
4,Brandenburg,2015-07-05,2015-08-02,-0.0756490317725168,-5.23212456288628,-4.51882001011377,-1.86871070067578,1.88606355175025,4.66774631668346,5.51258058815951
5,Brandenburg,2015-07-05,2015-08-09,0.0737434631806891,-5.42037414561809,-4.44639567576216,-1.93926655161517,1.93022030669382,4.60237853881199,5.45462686223451
6,Brandenburg,2015-07-05,2015-08-16,-0.0468085051356258,-5.35503666608689,-4.39458802137662,-1.75660248216042,1.80151835434205,4.26440641508998,5.17094580900473
1,Bremen,2015-07-05,2015-07-12,-0.0144896298762508,-1.09508470485466,-0.913198995017589,-0.361615370169022,0.341767982866285,0.924292250417143,1.08308521150767
2,Bremen,2015-07-05,2015-07-19,0.0206018585469356,-1.0918720763,-0.941383605585594,-0.349819604059841,0.402886184606237,0.950002956616172,1.13721816650277
3,Bremen,2015-07-05,2015-07-26,-0.00237697254218512,-1.10650250658657,-0.966473865511568,-0.421637770093541,0.408434270272776,0.88373327459558,1.00594422218587
4,Bremen,2015-07-05,2015-08-02,-0.0398579031930793,-1.11234612934498,-0.950033869968771,-0.399660092504668,0.362740740634504,0.923410135030363,1.19503624672725
5,Bremen,2015-07-05,2015-08-09,-0.0147424895326773,-1.19593720390943,-1.00809162349518,-0.415599640340616,0.401077791815999,1.00655092362551,1.12912636660481
6,Bremen,2015-07-05,2015-08-16,-0.00208698469664608,-1.12843389139777,-0.925038874309032,-0.379459071327465,0.390837807397121,0.943992904216061,1.20669868881444
1,Hamburg,2015-07-05,2015-07-12,-0.370370023487519,-6.79151041650104,-5.98614856354583,-2.51787935897335,2.08073450731579,5.21722084308559,6.12320431080983
2,Hamburg,2015-07-05,2015-07-19,-0.330542401853473,-6.22762481140722,-5.42375752346058,-2.53566031877434,2.03089872146876,5.26547500381145,6.14339710095137
3,Hamburg,2015-07-05,2015-07-26,-0.268467988562123,-6.63751552962505,-5.61001862142867,-2.44166405091132,1.73222721538214,5.02171436921315,6.23331706179269
4,Hamburg,2015-07-05,2015-08-02,-0.196192255701029,-6.49334041298207,-5.4684682030786,-2.54619503703454,2.35547953074291,5.22207394391804,6.31588273012037
5,Hamburg,2015-07-05,2015-08-09,-0.0458161212025596,-6.6267420164221,-5.56053960261471,-2.14835929265844,2.39961851861416,5.7450416544158,6.87462256004516
6,Hamburg,2015-07-05,2015-08-16,0.274582272257687,-6.32438133472511,-5.5188493540048,-1.9856508403694,2.26564076724654,5.67140555765039,6.86698628858763
1,Hesse,2015-07-05,2015-07-12,-0.045419076621367,-1.87835779294882,-1.55055050190909,-0.685023237982647,0.66488187599887,1.55792316450076,1.95267762703677
2,Hesse,2015-07-05,2015-07-19,-0.0909042542145731,-2.04760080275156,-1.77307322096833,-0.826619553938849,0.53153763721016,1.53823756829016,1.81911074839069
3,Hesse,2015-07-05,2015-07-26,-0.00360849687836302,-2.05870523741504,-1.69015972079564,-0.681910780047721,0.664006176285168,1.61804156697322,1.83434195067277
4,Hesse,2015-07-05,2015-08-02,0.0419623666856198,-2.02527612813814,-1.70996003010352,-0.661971230956781,0.739955234912688,1.61421483919156,1.93134540606355
5,Hesse,2015-07-05,2015-08-09,-0.0305342164174916,-2.0363381797295,-1.69317890782591,-0.729464147231539,0.666705575457311,1.72660537602372,2.24939201558844
6,Hesse,2015-07-05,2015-08-16,0.0425044424239156,-1.86857717572321,-1.52792149203345,-0.553526846172453,0.718249995033255,1.63295457803504,2.00862037564136
