step,location,timezero,date,pred_median,pred_95_lb,pred_80_lb,pred_50_lb,pred_50_ub,pred_80_ub,pred_95_ub,na_value_count
1,Baden-Württemberg,2015-07-05,2015-07-12,0.0247394118133675,-1.86834332248979,-1.59561768390352,-0.628772042769038,0.697044316034438,1.59831781229447,1.94137477769903,0
2,Baden-Württemberg,2015-07-05,2015-07-19,-0.0158883850263823,-1.84881177711365,-1.5823007329701,-0.693749995446179,0.687655663645248,1.6888453901854,1.9505240658469,0
3,Baden-Württemberg,2015-07-05,2015-07-26,0.0735567441670763,-1.82140499319153,-1.53677866269209,-0.564978050227692,0.749563525589135,1.70290749920057,2.09929831305201,0
4,Baden-Württemberg,2015-07-05,2015-08-02,-0.0674763233464461,-2.12947899601339,-1.76868194311919,-0.792425286188147,0.594196780387221,1.67084301921846,1.91672164217574,0
5,Baden-Württemberg,2015-07-05,2015-08-09,0.257348294591547,-1.66698881944249,-1.4178145119626,-0.391000124275011,0.848605872102949,1.86727811080374,2.27932804626497,0
6,Baden-Württemberg,2015-07-05,2015-08-16,0.26801876445954,-1.67405868606799,-1.39825224736448,-0.427706292307466,0.980013374716912,1.94179749875205,2.19307504757548,0
1,Bavaria,2015-07-05,2015-07-12,-0.0353600049456851,-1.78119749315639,-1.5445843048783,-0.709653434648576,0.626794693015637,1.58674204882949,1.7960497845091,0
2,Bavaria,2015-07-05,2015-07-19,0.0383478266940322,-2.00913074947667,-1.6614535586004,-0.665283334384243,0.7359774850244,1.65933844926006,1.99281524105533,0
3,Bavaria,2015-07-05,2015-07-26,0.0966506033530112,-1.85190274172225,-1.6392436536609,-0.543473422032362,0.722222896393576,1.64939919314883,1.94255739812826,0
4,Bavaria,2015-07-05,2015-08-02,-0.0453095657712496,-2.05990372308305,-1.72870516149375,-0.735855368384316,0.544944740088956,1.62219561416697,2.05158107897631,0
5,Bavaria,2015-07-05,2015-08-09,0.172828810463773,-1.66405993282613,-1.39219322708191,-0.493102264974417,0.849777912718635,1.82112804839707,2.11356284654863,0
6,Bavaria,2015-07-05,2015-08-16,0.651826391754441,-1.36577497137352,-1.05963038450715,-0.055067120812374,1.31271100492825,2.27888119824472,2.58265394539139,0
1,Berlin,2015-07-05,2015-07-12,0.0603486578456818,-1.87341245934259,-1.57622353770621,-0.602407597393693,0.731498421029058,1.67624134964042,1.96564160220251,0
2,Berlin,2015-07-05,2015-07-19,0.0197337846872156,-1.86458029140771,-1.62595056642251,-0.625301131970662,0.727948088493364,1.83304388767107,2.20966012989635,0
3,Berlin,2015-07-05,2015-07-26,-0.0528271723977623,-2.02359553003113,-1.78288106871434,-0.724673749116583,0.626926449246549,1.56274857901423,1.81415427565534,0
4,Berlin,2015-07-05,2015-08-02,-0.210333839907284,-2.03884215737467,-1.77647981829924,-0.878134597109546,0.444416854370333,1.44147746198643,1.7036113420857,0
5,Berlin,2015-07-05,2015-08-09,0.0425269553784312,-2.03531898979406,-1.65169200585564,-0.627541982390165,0.762908749343104,1.70174196698843,1.9249436256697,0
6,Berlin,2015-07-05,2015-08-16,0.265779833983103,-1.6808991196653,-1.37924854871207,-0.408545241507166,0.934146033922181,1.96477279459163,2.33191368674155,0
