step,location,timezero,date,pred_median,pred_95_lb,pred_80_lb,pred_50_lb,pred_50_ub,pred_80_ub,pred_95_ub,na_value_count
1,Baden-Württemberg,2015-07-05,2015-07-12,-0.0168778614085199,-0.0589858055822367,-0.0511163783423768,-0.0317074179515134,0.000780237382642185,0.0294958165949891,0.0394483321040364,0
2,Baden-Württemberg,2015-07-05,2015-07-19,0.00321916853752474,-0.0555908853893964,-0.0474242211701644,-0.018251141460703,0.0315307927329474,0.0742614180809223,0.0895056273111968,0
3,Baden-Württemberg,2015-07-05,2015-07-26,-0.0135397367599273,-0.0772163692993504,-0.0679704973928159,-0.0371668691037191,0.014904142905187,0.0650637934346195,0.0876927618022699,0
4,Baden-Württemberg,2015-07-05,2015-08-02,-0.0100825330670149,-0.0801002349620987,-0.0714398756815526,-0.0366928539609008,0.021464649788676,0.0744477871384645,0.0961800444137129,0
5,Baden-Württemberg,2015-07-05,2015-08-09,-0.0100955737441061,-0.081416948524681,-0.0735356532204711,-0.0395665707759653,0.0262268256829805,0.0815303775679433,0.108651949879102,0
6,Baden-Württemberg,2015-07-05,2015-08-16,0.0390378656056043,-0.0550272248061433,-0.0444551824846101,-0.00133088414523008,0.0849749444039378,0.182325334547645,0.224593939968146,0
1,Bavaria,2015-07-05,2015-07-12,-0.0171944267746292,-0.0698638860890367,-0.0600499868362996,-0.0357827162763216,0.00497446732436679,0.0410616194881672,0.0535680415893046,0
2,Bavaria,2015-07-05,2015-07-19,0.00359571300055872,-0.0688671443985924,-0.0589489075427057,-0.0230041041792351,0.0386950059799077,0.0910080064324704,0.110149000275723,0
3,Bavaria,2015-07-05,2015-07-26,0.00575339539445402,-0.0807822723586374,-0.0685425697016633,-0.0269888673454915,0.0447563268058218,0.11499763889034,0.145286838612067,0
4,Bavaria,2015-07-05,2015-08-02,-0.00948289784641931,-0.0968620421759042,-0.0869551995466354,-0.0426231331571185,0.0310873681208631,0.0973351473540852,0.126499166078844,0
5,Bavaria,2015-07-05,2015-08-09,-0.00914515335332294,-0.0987960092163171,-0.089735756046019,-0.0466255832594385,0.0372347173284832,0.107305709822964,0.143454179462124,0
6,Bavaria,2015-07-05,2015-08-16,-0.00701084627393264,-0.101667589645307,-0.0915770228540242,-0.0475953426808325,0.0366306983711373,0.123840300665497,0.162566652308857,0
1,Berlin,2015-07-05,2015-07-12,0.00896142575295339,-0.0682501161047428,-0.054657002270469,-0.0195375408075159,0.0449967293712212,0.109196055383593,0.133293291094657,0
2,Berlin,2015-07-05,2015-07-19,0.00149459980371597,-0.0855425623977472,-0.0681109442775731,-0.0296182952053887,0.0436521999870888,0.112926083254048,0.139962547993611,0
3,Berlin,2015-07-05,2015-07-26,0.0292644899803508,-0.0735261605241552,-0.0576300888958798,-0.00820092987989963,0.0814105989084812,0.171427924952239,0.213179872826808,0
4,Berlin,2015-07-05,2015-08-02,0.00626835603341946,-0.0947704600092378,-0.0797439441554745,-0.0332989772604405,0.0554961376361896,0.140117395500984,0.172522906658289,0
5,Berlin,2015-07-05,2015-08-09,0.0031219478378805,-0.0939556387398755,-0.0827938351484307,-0.0393207660497694,0.0569030690339157,0.148694678168724,0.180959247200093,0
6,Berlin,2015-07-05,2015-08-16,0.00157427753931194,-0.0958655369988441,-0.0853356376317201,-0.0418984967646955,0.0535659848134282,0.153262631214496,0.194295221611215,0
1,Brandenburg,2015-07-05,2015-07-12,-0.0115860321707692,-0.0853935554451568,-0.0724543139328761,-0.0389202076258531,0.0231507223252701,0.0855804293566461,0.109212204115376,0
2,Brandenburg,2015-07-05,2015-07-19,-0.00976462343831558,-0.092475934575025,-0.0748412538018936,-0.0394200896062099,0.0290447899226531,0.0952894186736269,0.117068964560289,0
3,Brandenburg,2015-07-05,2015-07-26,-0.00854205807350289,-0.100170243355178,-0.0888901180310057,-0.0423202957410414,0.0344479147424358,0.123573189000084,0.162432464710604,0
4,Brandenburg,2015-07-05,2015-08-02,-0.00849780378633094,-0.110965407275332,-0.100694999382761,-0.0503137497929095,0.0439526378581052,0.141029756756889,0.195243361957811,0
5,Brandenburg,2015-07-05,2015-08-09,-0.00501774312631201,-0.109123401768726,-0.102585445994871,-0.0544229735929122,0.0475004496614182,0.161793554478074,0.21405414984633,0
6,Brandenburg,2015-07-05,2015-08-16,-0.00752246818350424,-0.114524449850073,-0.103631673052013,-0.0542614460412867,0.0519128852630797,0.173075671727428,0.24102111095435,0
1,Bremen,2015-07-05,2015-07-12,-0.00126581917373117,-0.0558168993379373,-0.0465308512650208,-0.0219674487787457,0.0262056290928471,0.0801614189893109,0.102678430606935,0
2,Bremen,2015-07-05,2015-07-19,-0.000348099688635112,-0.0552270298522397,-0.0462953240867958,-0.020841342825442,0.0262497594802338,0.0818841508526395,0.102851125513186,0
3,Bremen,2015-07-05,2015-07-26,-0.000791575544713596,-0.0596242348933204,-0.0533078720846304,-0.0252738985395353,0.0288342006408814,0.092236779169189,0.119021726350481,0
4,Bremen,2015-07-05,2015-08-02,0.000544851697258986,-0.0607745066905923,-0.0534529099662206,-0.0249032283719514,0.0341009364097219,0.100308386929784,0.128262250029765,0
5,Bremen,2015-07-05,2015-08-09,0.00099231750943729,-0.061660480598799,-0.0560511330013967,-0.0282751381158114,0.0346140840276051,0.0993266317010895,0.12338269375548,1
6,Bremen,2015-07-05,2015-08-16,-0.00136638675356554,-0.0639309699774836,-0.056062686812606,-0.0290636621560385,0.0363063213460846,0.114357508624032,0.144000213888707,0
1,Hamburg,2015-07-05,2015-07-12,-0.00228122129905381,-0.0998622667413662,-0.0834365072355258,-0.0395460307064294,0.0471532484548578,0.142476787725759,0.180969950525481,0
2,Hamburg,2015-07-05,2015-07-19,-0.00225844318846913,-0.114887346959438,-0.0936800137419753,-0.0442240156603646,0.0584754843901762,0.168357556109997,0.215667637838462,0
3,Hamburg,2015-07-05,2015-07-26,0.104919171963264,-0.0853106737812779,-0.0606608107301155,0.0274850735770819,0.22734988905062,0.576012290305544,0.89916844169549,1
4,Hamburg,2015-07-05,2015-08-02,0.114755763467726,-0.0835615126388532,-0.0697199376545571,0.0192705148304019,0.250604999368726,0.654555137695094,0.914571531647356,1
5,Hamburg,2015-07-05,2015-08-09,0.00214832696633926,-0.137128590957519,-0.128183184026937,-0.0638928237011075,0.0896049279651343,0.286830033091171,0.415679399623128,0
6,Hamburg,2015-07-05,2015-08-16,-0.00189809954202366,-0.141303849118641,-0.124450868263078,-0.0655526984495559,0.0886690287485814,0.31671439161674,0.449245740405017,0
1,Hesse,2015-07-05,2015-07-12,-0.0163523651267513,-0.0572874563890602,-0.049816733058549,-0.0310511809619711,0.00161062532354708,0.032055239138579,0.0430125799679278,0
2,Hesse,2015-07-05,2015-07-19,-0.0167905944971874,-0.0640670192910904,-0.0544910581249774,-0.0329965487081741,0.00465991115633288,0.0385315959297007,0.0502667954888883,0
3,Hesse,2015-07-05,2015-07-26,-0.0144205980552526,-0.0684012023136265,-0.0598950105637236,-0.033637284753198,0.00894613099962968,0.0523454395147721,0.0740066424080164,0
4,Hesse,2015-07-05,2015-08-02,0.00611214121415138,-0.0574221410623739,-0.0507155845362282,-0.0192260705058445,0.0376439151869558,0.0950810935178331,0.11425965581696,0
5,Hesse,2015-07-05,2015-08-09,-0.0105317900170721,-0.0676726930064904,-0.0626446422539056,-0.035273475097528,0.0180894133545597,0.0665291398942585,0.0896464952396078,0
6,Hesse,2015-07-05,2015-08-16,0.0176904076549217,-0.0542261830200203,-0.0451252819111927,-0.0127856436218795,0.0552083700888893,0.131368976571149,0.167953588959328,0
1,Mecklenburg-Vorpommern,2015-07-05,2015-07-12,0.00761733938684339,-0.0897090668567767,-0.0731333150748734,-0.0292175036607168,0.0558065558744742,0.146441409194877,0.182156648387638,0
2,Mecklenburg-Vorpommern,2015-07-05,2015-07-19,0.0031794874158052,-0.105814878456973,-0.0840496602120769,-0.036663779487902,0.059213025326352,0.158623229370194,0.194607251755631,0
3,Mecklenburg-Vorpommern,2015-07-05,2015-07-26,0.0285244960824001,-0.0975378571616887,-0.0787702386027647,-0.0198343665487431,0.0961030695814019,0.219224399965706,0.276618883831633,0
4,Mecklenburg-Vorpommern,2015-07-05,2015-08-02,0.00465794378424816,-0.109806328624012,-0.0957172689677883,-0.0433227010544562,0.0677537186703622,0.177420643966955,0.221102712457733,0
5,Mecklenburg-Vorpommern,2015-07-05,2015-08-09,0.00204704054843152,-0.109165313727216,-0.096265229614544,-0.046081639436344,0.0685251764317758,0.183213367885352,0.23614526100326,0
6,Mecklenburg-Vorpommern,2015-07-05,2015-08-16,0.00283290031393452,-0.115502943048986,-0.0985625906443908,-0.0490123839927267,0.0659538551730439,0.193014274755824,0.274728138889483,0
1,Lower Saxony,2015-07-05,2015-07-12,0.0473217025684103,-0.0144503819054517,-0.00347001702516732,0.0246764746027369,0.075765503236595,0.126105326598406,0.144944574530466,0
2,Lower Saxony,2015-07-05,2015-07-19,0.0314808384307377,-0.039221929757595,-0.0301838736459249,0.00456344754962121,0.0688015924432946,0.130706046472359,0.155039352077386,0
3,Lower Saxony,2015-07-05,2015-07-26,0.0289376168837062,-0.0539403575123952,-0.0428765760066123,-0.00383734069062215,0.0691871052676762,0.15263639160046,0.19181181745414,0
4,Lower Saxony,2015-07-05,2015-08-02,0.0279969928527175,-0.0617356339167187,-0.0519949857818199,-0.00750886986063666,0.0744783424713276,0.159030131148135,0.205268393582905,0
5,Lower Saxony,2015-07-05,2015-08-09,0.0247272926593396,-0.065964685376553,-0.0573604261507186,-0.0143294500763642,0.076165164309953,0.16921845427671,0.223691725453123,0
6,Lower Saxony,2015-07-05,2015-08-16,0.0236460117709543,-0.0703811229644815,-0.0618721083561286,-0.0187253173577085,0.0722090607914712,0.183800052487156,0.244381662990567,0
1,North Rhine-Westphalia,2015-07-05,2015-07-12,-0.000662578912149575,-0.0328779339212378,-0.0268682011761165,-0.012028725189576,0.0129189051550005,0.0351585971295947,0.0429226921419019,0
2,North Rhine-Westphalia,2015-07-05,2015-07-19,-0.000618215845735903,-0.0412695364553268,-0.0358986198491248,-0.0154913674882298,0.0189784735515014,0.0487676645373625,0.0596607430652208,0
3,North Rhine-Westphalia,2015-07-05,2015-07-26,-0.000291566430413309,-0.0495156753245712,-0.042508682432987,-0.0190005918276842,0.0209686554693725,0.0614686063606873,0.0783465526145448,0
4,North Rhine-Westphalia,2015-07-05,2015-08-02,0.000832492676844321,-0.0538299278107279,-0.0470695063908029,-0.0196570643956922,0.025840804499408,0.0672847271811732,0.0873711176146009,0
5,North Rhine-Westphalia,2015-07-05,2015-08-09,0.000271306091997048,-0.0556650666102527,-0.0502007232150522,-0.023044975330887,0.0281085249439912,0.0747796015486397,0.0975103649257567,0
6,North Rhine-Westphalia,2015-07-05,2015-08-16,0.00111710786152369,-0.057646239705523,-0.0524035236602965,-0.0244209365162683,0.027594282965432,0.0834480589846277,0.110085384071017,0
1,Rhineland-Palatinate,2015-07-05,2015-07-12,-0.00132089359226312,-0.0623908318624117,-0.0514467527101042,-0.0235587634773315,0.0263195155990698,0.0743176988111815,0.0919436770424371,0
2,Rhineland-Palatinate,2015-07-05,2015-07-19,-0.00124279094294599,-0.0767570486849621,-0.0661185335376502,-0.0300209663128251,0.0372866414192787,0.100976747891826,0.123935745175441,0
3,Rhineland-Palatinate,2015-07-05,2015-07-26,-0.00150213998465745,-0.0887384202268743,-0.0760564344690081,-0.0344038048227905,0.0410618340663645,0.125023109983571,0.165545060493287,0
4,Rhineland-Palatinate,2015-07-05,2015-08-02,0.00195909502738773,-0.0932624087589041,-0.0809995048893602,-0.0351243259638255,0.0479217091924614,0.140059134999618,0.177174642350906,0
5,Rhineland-Palatinate,2015-07-05,2015-08-09,-0.000483507140025791,-0.0945310638147651,-0.0836147711292043,-0.0407702080092625,0.0515330371877671,0.141455069998595,0.191534666309284,0
6,Rhineland-Palatinate,2015-07-05,2015-08-16,0.000719423448001022,-0.0968443030773341,-0.0846227858631039,-0.0417753089709341,0.0512427231121114,0.164128095509481,0.212243228989686,0
1,Saarland,2015-07-05,2015-07-12,-0.0015200604310546,-0.0643079596910259,-0.0539547349880314,-0.02593995265477,0.0322546313912872,0.10453966435722,0.137798694763589,0
2,Saarland,2015-07-05,2015-07-19,-0.00110385485838091,-0.0704172075998823,-0.056931597437786,-0.0273714249044816,0.0368421929998125,0.115835509048477,0.146366507318466,0
3,Saarland,2015-07-05,2015-07-26,0.0924226313389285,-0.0313743253429403,-0.0182162070814646,0.0387806972153599,0.179392377116964,0.447545747254241,0.616902981153033,46
4,Saarland,2015-07-05,2015-08-02,-9.19777756832885e-05,-0.072996314059397,-0.0647598382338386,-0.0310654946807181,0.0472956397412725,0.139251989915319,0.187215638536046,0
5,Saarland,2015-07-05,2015-08-09,-0.000659734440242671,-0.0724933904694174,-0.0654106371893551,-0.0336476805169417,0.0468181347652294,0.147305203541948,0.187089899236386,2
6,Saarland,2015-07-05,2015-08-16,-7.95470566490875e-05,-0.0769935379920771,-0.0659603476504147,-0.0345275293615843,0.0457707628260177,0.154644504705048,0.253695608579824,1
1,Saxony,2015-07-05,2015-07-12,0.0163375574369878,-0.0722647169309171,-0.0566910558973647,-0.0163913355604247,0.0576940280867057,0.131109448299089,0.158526155173661,0
2,Saxony,2015-07-05,2015-07-19,0.0158959651881555,-0.0915103068762491,-0.0756099645166518,-0.0254480563407992,0.0698665088139472,0.162829625309871,0.198029033430236,0
3,Saxony,2015-07-05,2015-07-26,0.0135434940947829,-0.109878160178912,-0.0917869931813635,-0.0341157441257474,0.0755537292631344,0.199455627637057,0.260910630483172,0
4,Saxony,2015-07-05,2015-08-02,0.0174333476212408,-0.115723488419573,-0.102871095028627,-0.037671353700858,0.087072772124642,0.22231717135611,0.291791127844307,0
5,Saxony,2015-07-05,2015-08-09,0.0371790387455599,-0.109803839905498,-0.0972522135052561,-0.0312618757550443,0.121832790911134,0.289864850721771,0.378865185739594,0
6,Saxony,2015-07-05,2015-08-16,0.0140110209947672,-0.126734381114375,-0.114938766000154,-0.0500846289313403,0.0903340483844382,0.272806139876118,0.360030196942521,0
1,Saxony-Anhalt,2015-07-05,2015-07-12,-0.000912205908369906,-0.0818905881586114,-0.0673654347633468,-0.030353073733738,0.0354889791798932,0.097903685096206,0.120493984814783,0
2,Saxony-Anhalt,2015-07-05,2015-07-19,-0.000193659560184967,-0.100274042468775,-0.0855064517802253,-0.0379985214815067,0.050243146106607,0.132245418142699,0.16066531495243,0
3,Saxony-Anhalt,2015-07-05,2015-07-26,0.000472140577736146,-0.115408096045376,-0.0985626176618537,-0.0432119619194031,0.0559696734494987,0.162654930279393,0.212501535306049,0
4,Saxony-Anhalt,2015-07-05,2015-08-02,0.00570036353826103,-0.121180221831748,-0.104373789546451,-0.0437648884425425,0.0645586136531024,0.183282452486422,0.227426142298245,0
5,Saxony-Anhalt,2015-07-05,2015-08-09,0.00205047279337034,-0.121955240623471,-0.106817704564971,-0.0503940457397359,0.0698791731468179,0.184164044468961,0.240554891878816,0
6,Saxony-Anhalt,2015-07-05,2015-08-16,0.00443607733066603,-0.124600903854848,-0.10780648119148,-0.0513938043014775,0.0701836511243039,0.213381839674882,0.268770265134838,0
