step,location,timezero,date,pred_median,pred_95_lb,pred_80_lb,pred_50_lb,pred_50_ub,pred_80_ub,pred_95_ub,na_value_count
1,Baden-Württemberg,2015-07-05,2015-07-12,0.0309067046628499,0.03,0.03,0.03,0.0401555268392512,0.173081326040647,0.339979103433357,0
2,Baden-Württemberg,2015-07-05,2015-07-19,0.031780393894944,0.03,0.03,0.03,0.0414273148403744,0.205646806156651,0.214903206966127,0
3,Baden-Württemberg,2015-07-05,2015-07-26,0.0314660740717793,0.03,0.03,0.03,0.0418992555987763,0.224386482449196,0.224386482449196,0
4,Baden-Württemberg,2015-07-05,2015-08-02,0.0320100404785495,0.03,0.03,0.03,0.0417774294669762,0.224386482449196,0.224386482449196,0
5,Baden-Württemberg,2015-07-05,2015-08-09,0.0324365340040665,0.03,0.03,0.03,0.0392596719762753,0.229300354918309,0.264989688816747,0
6,Baden-Württemberg,2015-07-05,2015-08-16,0.0328998690566707,0.03,0.03,0.0300047564570132,0.0394872295778505,0.220388423563992,0.220388423563992,0
1,Bavaria,2015-07-05,2015-07-12,0.0322542220025163,0.03,0.03,0.03,0.0401555268392512,0.173081326040647,0.173081326040647,0
2,Bavaria,2015-07-05,2015-07-19,0.0318457147988544,0.03,0.03,0.03,0.0400226110422775,0.205646806156651,0.205646806156651,0
3,Bavaria,2015-07-05,2015-07-26,0.0318457147988544,0.03,0.03,0.03,0.0402476352149401,0.137476531403903,0.224386482449196,0
4,Bavaria,2015-07-05,2015-08-02,0.0318457147988544,0.03,0.03,0.03,0.0366453613735017,0.196209657895533,0.224386482449196,0
5,Bavaria,2015-07-05,2015-08-09,0.031229721068575,0.03,0.03,0.03,0.0349689624287446,0.229300354918309,0.229300354918309,0
6,Bavaria,2015-07-05,2015-08-16,0.0318457147988544,0.03,0.03,0.03,0.0345569753440452,0.21713664890232,0.220388423563992,0
1,Berlin,2015-07-05,2015-07-12,0.03,0.03,0.03,0.03,0.0376006574037955,0.113975296402036,0.339979103433357,0
2,Berlin,2015-07-05,2015-07-19,0.03,0.03,0.03,0.03,0.0379670206220199,0.131049314555095,0.214903206966127,0
3,Berlin,2015-07-05,2015-07-26,0.0302556534283236,0.03,0.03,0.03,0.0373936224625465,0.116122405779859,0.116495578499239,0
4,Berlin,2015-07-05,2015-08-02,0.0307458600501745,0.03,0.03,0.03,0.0377203552529999,0.0662351446662019,0.143150937230736,0
5,Berlin,2015-07-05,2015-08-09,0.0300970055813004,0.03,0.03,0.03,0.0353157339886604,0.0662351446662019,0.166583160449245,0
6,Berlin,2015-07-05,2015-08-16,0.0303816724078049,0.03,0.03,0.03,0.0369380596777406,0.0779571001957697,0.21713664890232,0
1,Brandenburg,2015-07-05,2015-07-12,0.030057720331542,0.03,0.03,0.03,0.0376006574037955,0.0608647300232579,0.339979103433357,0
2,Brandenburg,2015-07-05,2015-07-19,0.0300624244446036,0.03,0.03,0.03,0.0379670206220199,0.0506288621785611,0.214903206966127,0
3,Brandenburg,2015-07-05,2015-07-26,0.030280144993718,0.03,0.03,0.03,0.036814015092264,0.109625437902635,0.116122405779859,0
4,Brandenburg,2015-07-05,2015-08-02,0.0307793732207841,0.03,0.03,0.03,0.0361590199297328,0.137692227694392,0.196209657895533,0
5,Brandenburg,2015-07-05,2015-08-09,0.0308955610559624,0.03,0.03,0.03,0.0353157339886604,0.124619532609666,0.304146014638471,0
6,Brandenburg,2015-07-05,2015-08-16,0.0313334667742313,0.03,0.03,0.03,0.0353157339886604,0.102005710558706,0.304146014638471,0
1,Bremen,2015-07-05,2015-07-12,0.0318457147988544,0.03,0.03,0.03,0.0391879340283453,0.173081326040647,0.173081326040647,0
2,Bremen,2015-07-05,2015-07-19,0.0321063686765823,0.03,0.03,0.03,0.0417803321334054,0.205646806156651,0.205646806156651,0
3,Bremen,2015-07-05,2015-07-26,0.0314660740717793,0.03,0.03,0.03,0.0419679490496161,0.137476531403903,0.224386482449196,0
4,Bremen,2015-07-05,2015-08-02,0.0313894900375869,0.03,0.03,0.03,0.0421412626445311,0.196209657895533,0.224386482449196,0
5,Bremen,2015-07-05,2015-08-09,0.0313894900375869,0.03,0.03,0.03,0.0408557560924556,0.229300354918309,0.229300354918309,0
6,Bremen,2015-07-05,2015-08-16,0.0331684696162545,0.03,0.03,0.0300047564570132,0.0394872295778505,0.220388423563992,0.220388423563992,0
1,Hamburg,2015-07-05,2015-07-12,0.0323670225543102,0.03,0.03,0.03,0.0496493884603305,1.39395059731857,1.39395059731857,0
2,Hamburg,2015-07-05,2015-07-19,0.0324326771461717,0.03,0.03,0.03,0.0482331472434837,1.10132262235244,1.10132262235244,0
